Výdavky,podkategória 1,podkategória 2,plnenie,koment
bežné výdavky,1.1.1.6 Obec,"mzdy, platy","79017,94",
bežné výdavky,1.1.1.6 Obec,poistné a príspevky do poisťovní,"28898,87",
bežné výdavky,1.1.1.6 Obec,Tovary a služby,"38094,32",
bežné výdavky,1.1.1.6 Obec,bežné transfery,"4416,41",
bežné výdavky,1.1.2 Finančná a rozpočtová oblast,Tovary a služby,1370,
bežné výdavky,1.3.3 Iné všeobecné služby matrika,"mzdy, platy","2024,8",
bežné výdavky,1.3.3 Iné všeobecné služby matrika,poistné a príspevky do poisťovní,"707,73",
bežné výdavky,1.3.3 Iné všeobecné služby matrika,Tovary a služby,"85,02",
bežné výdavky,1.6.0 Všeobecné služby voľby,"mzdy, platy",0,
bežné výdavky,1.6.0 Všeobecné služby voľby,poistné a príspevky do poisťovní,"60,12",
bežné výdavky,1.6.0 Všeobecné služby voľby,Tovary a služby,"1059,88",
bežné výdavky,1.7.0 Transakcie verejného dlhu,splácanie úrokov,"8483,08",
bežné výdavky,2.2.0 Civilná ochrana,Tovary a služby,"187,2",
bežné výdavky,3.2.0 Ochrana pred požiarmi,Tovary a služby,"444,8",
bežné výdavky,4.5.1 Cestná doprava,Tovary a služby,"2691,22",
bežné výdavky,5.1.0 Nakladanie s odpadmi,"mzdy, platy",0,
bežné výdavky,5.1.0 Nakladanie s odpadmi,poistné a príspevky do poisťovní,"137,76",
bežné výdavky,5.1.0 Nakladanie s odpadmi,Tovary a služby,"43820,79",
bežné výdavky,5.2.0 Nakladanie s odpadovými vodami,"mzdy, platy",0,
bežné výdavky,5.2.0 Nakladanie s odpadovými vodami,poistné a príspevky do poisťovní,0,
bežné výdavky,5.2.0 Nakladanie s odpadovými vodami,Tovary a služby,"696,91",
bežné výdavky,6.1.0 Rozvoj bývania,"mzdy, platy",0,
bežné výdavky,6.1.0 Rozvoj bývania,poistné a príspevky do poisťovní,"89,7",
bežné výdavky,6.1.0 Rozvoj bývania,Tovary a služby,"5637,96",
bežné výdavky,6.4.0 Verejné osvetlenie,Tovary a služby,"15139,39",
bežné výdavky,8.1.0 Rekreačné a športové služby,Tovary a služby,"5110,39",
bežné výdavky,8.1.0 Rekreačné a športové služby,bežné transfery,5850,
bežné výdavky,8.2.0 Kultúrne služby,poistné a príspevky do poisťovní,"88,07",
bežné výdavky,8.2.0 Kultúrne služby,Tovary a služby,"12536,57",
bežné výdavky,8.2.0 Kultúrne služby,bežné transfery,"1410,99",
bežné výdavky,"8.2.0.5 Kultúrne služby knižnica, múzeum",poistné a príspevky do poisťovní,"4,8",
bežné výdavky,"8.2.0.5 Kultúrne služby knižnica, múzeum",Tovary a služby,"3495,09",
bežné výdavky,8.2.0.9 Ostatné kultúrne služby vrátane kultúrnych domov,Tovary a služby,"550,21",
bežné výdavky,8.3.0 Vysielacie a vydavateľské služby,Tovary a služby,"499,97",
bežné výdavky,8.4.0 Náboženské a iné spoločenské služby,Tovary a služby,"562,42",
bežné výdavky,8.4.0 Náboženské a iné spoločenské služby,bežné transfery,"1785,6",
bežné výdavky,9.1.1.1 Vzdelávanie predškolská výchova,Tovary a služby,"3632,44",
bežné výdavky,9.1.2.1 Vzdelávanie základná výchova,Tovary a služby,"710,64",
bežné výdavky,10.1.2.1 Invalidita a ťažké zdravotné postihnutie - príspevky neštátnym subjektom,bežné transfery,720,
bežné výdavky,10.2.0 Dôchodcovia - príspevky,bežné transfery,"1344,85",
bežné výdavky,10.2.0.2 Ďalšie sociálne služby - opatrovateľská služba,"mzdy, platy","1056,26",
bežné výdavky,10.2.0.2 Ďalšie sociálne služby - opatrovateľská služba,poistné a príspevky do poisťovní,"382,1",
bežné výdavky,10.2.0.2 Ďalšie sociálne služby - opatrovateľská služba,Tovary a služby,0,"zlé percento plnenie, má tu byť 0 percent nie 53"
bežné výdavky,10.3.0 Pozostalí - pohrebné služby,Tovary a služby,300,
bežné výdavky,"10.4.0.5 Rodina a deti, ďalšie soc. Výdavky",bežné transfery,"161,14",
bežné výdavky,10.7.0.1 sociálna pomoc občanom v hmotnej a sociálnej núdzi,bežné transfery,80,
Kapitálové výdavky,1.1.1.6 Obec,Nákup pozemkov a nehmotných aktív,1036,nákup pozemkov a zmena ÚP
Kapitálové výdavky,1.1.1.6 Obec,Nákup dopravných prostriedkov,"3347,67",nákup osobného auto 3. splátka
Kapitálové výdavky,1.1.1.6 Obec,projekty,2250,projektová dokumentácia pozemkových úprav a kruhového objazdu
Kapitálové výdavky,4.5.1 Cestná doprava,informačné tabule,"2683,44",
Kapitálové výdavky,4.5.1 Cestná doprava,nové stavby,"33542,12","náklady na projekt výstavby MK Bernolákova, parkovisko pred TJ Slovan Červeník + vsakovačka, informačné tabule ? "
Kapitálové výdavky,5.1.0 Nakladanie s odpadmi,nákup techniky,52500,nákup techniky z envirofondu
Kapitálové výdavky,5.1.0 Nakladanie s odpadmi,nové stavby,0,
Kapitálové výdavky,5.2.0 Nakladanie s odpadovými vodami,realizácia stavieb - kanalizačné prípojky,1496,výstavbu kan. Prípojok obecných budov
Kapitálové výdavky,5.2.0 Nakladanie s odpadovými vodami,transfer práv. osobe,"28612,1",transfer tavosu na výstavbu kanalizácie
Kapitálové výdavky,6.4.0 Verejné osvetlenie,realizácia stavieb a technického zhodnotenia,"489,6","zlé percento plnenie, má tu byť 0 percent nie 53"
Kapitálové výdavky,8.1.0 Rekreačné a športové služby,nové stavby,1500,tenisové kurty
Kapitálové výdavky,9.1.1.1 Vzdelávanie predškolská výchova,nákup prístrojov,"2996,4",nákup konvektomatu pre školskú jedáleň
Finančné operácie,1.7.0 Transakcie verejného dlhu,splácanie istiny dlhodobý bankový úver,0,
Finančné operácie,1.7.0 Transakcie verejného dlhu,"ostatné úvery, návratné pôžičky","16110,67",
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,normatívne fin,298802,
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,dofinancovanie orig. Kompetencii,5087,
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,vzdelávacie poukazy,3573,dve čiarky + v plnení chýba čiarka
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,soc. Znevýhodnené prostredie,233,
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,deti ktoré majú rok pred plnením povinej školskej docházky,3221,
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,strava,431,
Výdavky rozpočtových organizácií s právnou subjektivitou,ZŠ a MŠ Červeník,školské potreby,"116,2",
